Glass Name,Poisson's Ratio,Thermal Expansion Coefficient,Density (kg/m³),Thermal Conductivity,Other Properties
S-LAH52,,,4410,,Elastic Modulus in X: 1.119E+011; Poisson's Ration in XY: 0.297; Shear Modulus in XY: 4.3138E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.828; Specific Heat: 550
S-LAH51,,,4400,,Elastic Modulus in X: 1.129E+011; Poisson's Ration in XY: 0.297; Shear Modulus in XY: 4.3524E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.826; Specific Heat: 550
S-LAM66,0.28,8e-06,3550,1.602,Elastic Modulus: 1.21E+11; Shear Modulus: 4.7266E+10; Specific Heat: 550
S-LAM61,,,4100,,Elastic Modulus in X: 9.37E+010; Poisson's Ration in XY: 0.29; Shear Modulus in XY: 3.6318E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.732; Specific Heat: 550
S-LAM60,,,4060,,Elastic Modulus in X: 1.132E+011; Poisson's Ration in XY: 0.294; Shear Modulus in XY: 4.374E+010; Thermal Expansion Coefficient in X: 5e-006; Thermal Conductivity in X: 0.845; Specific Heat: 550
S-LAM59,,,3770,,Elastic Modulus in X: 1.006E+011; Poisson's Ration in XY: 0.277; Shear Modulus in XY: 3.9389E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.847; Specific Heat: 550
S-LAM58,,,4000,,Elastic Modulus in X: 9.19E+010; Poisson's Ration in XY: 0.279; Shear Modulus in XY: 3.5927E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.771; Specific Heat: 550
S-LAM55,,,4220,,Elastic Modulus in X: 9.67E+010; Poisson's Ration in XY: 0.292; Shear Modulus in XY: 3.7423E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.741; Specific Heat: 550
S-LAM54,,,4080,,Elastic Modulus in X: 1.172E+011; Poisson's Ration in XY: 0.292; Shear Modulus in XY: 4.5356E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.891; Specific Heat: 550
S-LAM52,,,3950,,Elastic Modulus in X: 9.57E+010; Poisson's Ration in XY: 0.278; Shear Modulus in XY: 3.7441E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.801; Specific Heat: 550
S-LAM51,,,3790,,Elastic Modulus in X: 1.007E+011; Poisson's Ration in XY: 0.278; Shear Modulus in XY: 3.9397E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.867; Specific Heat: 550
S-LAM7,,,3810,,Elastic Modulus in X: 9.7E+010; Poisson's Ration in XY: 0.273; Shear Modulus in XY: 3.8099E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.871; Specific Heat: 550
S-LAM3,,,4250,,Elastic Modulus in X: 8.68E+010; Poisson's Ration in XY: 0.294; Shear Modulus in XY: 3.3539E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.655; Specific Heat: 550
S-LAM2,,0.000007000000000,,0.698000,Elastic Modulus: 935000000.000000; Poissons Ratio: 0.295000; Shear Modulus: 36100000000.000000; Density: 4320.000000; Specific Heat: 550.000000
S-LAL61,,,4040,,Elastic Modulus in X: 1.19E+011; Poisson's Ration in XY: 0.291; Shear Modulus in XY: 4.6088E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.861; Specific Heat: 550
S-LAL59,,,4040,,Elastic Modulus in X: 1.137E+011; Poisson's Ration in XY: 0.293; Shear Modulus in XY: 4.3968E+010; Thermal Expansion Coefficient in X: 5e-006; Thermal Conductivity in X: 0.863; Specific Heat: 550
S-LAL58,,,4030,,Elastic Modulus in X: 9.28E+010; Poisson's Ration in XY: 0.285; Shear Modulus in XY: 3.6109E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.728; Specific Heat: 550
S-LAL56,,,3850,,Elastic Modulus in X: 9.11E+010; Poisson's Ration in XY: 0.28; Shear Modulus in XY: 3.5586E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.778; Specific Heat: 550
S-LAL54,,,3820,,Elastic Modulus in X: 8.77E+010; Poisson's Ration in XY: 0.277; Shear Modulus in XY: 3.4338E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.761; Specific Heat: 550
S-LAL18,,0.000006,,0.871000,Elastic Modulus: 120400000000.000000; Poissons Ratio: 0.289000; Shear Modulus: 46703000000.000000; Density: 4180.000000; Specific Heat: 550.000000
S-LAL14,,,3700,,Elastic Modulus in X: 1.118E+011; Poisson's Ration in XY: 0.284; Shear Modulus in XY: 4.3536E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.908; Specific Heat: 550
S-LAL13,,,3600,,Elastic Modulus in X: 1.073E+011; Poisson's Ration in XY: 0.29; Shear Modulus in XY: 4.1589E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.893; Specific Heat: 550
S-LAL12,,0.000007,,0.717000,Elastic Modulus: 90999996416.000000; Poissons Ratio: 0.284000; Shear Modulus: 35435999232.000000; Density: 4010.000000; Specific Heat: 550.000000
S-LAL10,,,3860,,Elastic Modulus in X: 1.061E+011; Poisson's Ration in XY: 0.294; Shear Modulus in XY: 4.0997E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.85; Specific Heat: 550
S-LAL9,,0.000006,,0.895000,Elastic Modulus: 107500003328.000000; Poissons Ratio: 0.287000; Shear Modulus: 41763999744.000000; Density: 3630.000000; Specific Heat: 550.000000
S-LAL8,,0.000006,,0.894000,Elastic Modulus: 114000000000.000000; Poissons Ratio: 0.289000; Shear Modulus: 44220000000.000000; Density: 3790.000000; Specific Heat: 550.000000
S-LAL7,,,3730,,Elastic Modulus in X: 9.58E+010; Poisson's Ration in XY: 0.271; Shear Modulus in XY: 3.7687E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.825; Specific Heat: 550
S-TIH53,,0.000009,,1.000000,Elastic Modulus: 96000000000.000000; Poissons Ratio: 0.266000; Shear Modulus: 37915000832.000000; Density: 3540.000000; Specific Heat: 550.000000
S-TIH23,,,3300,,Elastic Modulus in X: 9.22E+010; Poisson's Ration in XY: 0.26; Shear Modulus in XY: 3.6587E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 0.992; Specific Heat: 550
S-TIH18,,,3070,,Elastic Modulus in X: 8.91E+010; Poisson's Ration in XY: 0.248; Shear Modulus in XY: 3.5696E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.029; Specific Heat: 550
S-TIH14,,,3170,,Elastic Modulus in X: 8.88E+010; Poisson's Ration in XY: 0.254; Shear Modulus in XY: 3.5407E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 1.027; Specific Heat: 550
S-TIH13,,,3100,,Elastic Modulus in X: 8.99E+010; Poisson's Ration in XY: 0.249; Shear Modulus in XY: 3.5989E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.034; Specific Heat: 550
S-TIH11,,,3240,,Elastic Modulus in X: 9.12E+010; Poisson's Ration in XY: 0.255; Shear Modulus in XY: 3.6335E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 1.017; Specific Heat: 550
S-TIH10,,,3060,,Elastic Modulus in X: 1.024E+011; Poisson's Ration in XY: 0.243; Shear Modulus in XY: 4.1191E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.043; Specific Heat: 550
S-TIH6,,,3370,,Elastic Modulus in X: 9.309999923E+010; Poisson's Ration in XY: 0.261; Shear Modulus in XY: 3.69149993E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 1.011; Specific Heat: 550
S-TIH4,,0.000008,,1.010000,Elastic Modulus: 91900000000.000000; Poissons Ratio: 0.254000; Shear Modulus: 36643000000.000000; Density: 3150.000000; Specific Heat: 550.000000
S-TIH3,,,3110,,Elastic Modulus in X: 9.08E+010; Poisson's Ration in XY: 0.254; Shear Modulus in XY: 3.6204E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.027; Specific Heat: 550
S-TIH1,,0.000008,,1.018000,Elastic Modulus: 88400000000.000000; Poissons Ratio: 0.247000; Shear Modulus: 35445000000.000000; Density: 3060.000000; Specific Heat: 550.000000
S-TIM39,,,2920,,Elastic Modulus in X: 8.17E+010; Poisson's Ration in XY: 0.246; Shear Modulus in XY: 3.2785E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 0.988; Specific Heat: 550
S-TIM35,,,2960,,Elastic Modulus in X: 8.75E+010; Poisson's Ration in XY: 0.238; Shear Modulus in XY: 3.5339E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.049; Specific Heat: 550
S-TIM28,,0.000008,,1.006000,Elastic Modulus: 85500000000.000000; Poissons Ratio: 0.242000; Shear Modulus: 34420000000.000000; Density: 2980.000000; Specific Heat: 550.000000
S-TIM27,,,2760,,Elastic Modulus in X: 7.93E+010; Poisson's Ration in XY: 0.236; Shear Modulus in XY: 3.2079E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.035; Specific Heat: 550
S-TIM25,,,2910,,Elastic Modulus in X: 8.41E+010; Poisson's Ration in XY: 0.236; Shear Modulus in XY: 3.4021E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.046; Specific Heat: 550
S-TIM22,,,2790,,Elastic Modulus in X: 7.98E+010; Poisson's Ration in XY: 0.238; Shear Modulus in XY: 3.2229E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.024; Specific Heat: 550
S-TIM8,,,2630,,Elastic Modulus in X: 7.5E+010; Poisson's Ration in XY: 0.231; Shear Modulus in XY: 3.0463E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.034; Specific Heat: 550
S-TIM5,,,2630,,Elastic Modulus in X: 7.63E+010; Poisson's Ration in XY: 0.233; Shear Modulus in XY: 3.0941E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.04; Specific Heat: 550
S-TIM3,,,2670,,Elastic Modulus in X: 7.79E+010; Poisson's Ration in XY: 0.229; Shear Modulus in XY: 3.1692E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.044; Specific Heat: 550
S-TIM2,,0.000008,,1.394000,Elastic Modulus: 77600000000.000000; Poissons Ratio: 0.230000; Shear Modulus: 31545000000.000000; Density: 2690.000000; Specific Heat: 550.000000
S-TIM1,,,2710,,Elastic Modulus in X: 7.86E+010; Poisson's Ration in XY: 0.234; Shear Modulus in XY: 3.1848E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.043; Specific Heat: 550
S-TIL27,,,2580,,Elastic Modulus in X: 7.49E+010; Poisson's Ration in XY: 0.217; Shear Modulus in XY: 3.0772E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 1.07; Specific Heat: 550
S-TIL26,,,2570,,Elastic Modulus in X: 7.39E+010; Poisson's Ration in XY: 0.222; Shear Modulus in XY: 3.0237E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.054; Specific Heat: 550
S-TIL25,,,2590,,Elastic Modulus in X: 7.53E+010; Poisson's Ration in XY: 0.22; Shear Modulus in XY: 3.0861E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 1.054; Specific Heat: 550
S-TIL6,,,2500,,Elastic Modulus in X: 6.48E+010; Poisson's Ration in XY: 0.146; Shear Modulus in XY: 2.8272E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.059; Specific Heat: 550
S-TIL2,,,2520,,Elastic Modulus in X: 6.99E+010; Poisson's Ration in XY: 0.22; Shear Modulus in XY: 2.8648E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.051; Specific Heat: 550
S-TIL1,,,2540,,Elastic Modulus in X: 7.05E+010; Poisson's Ration in XY: 0.222; Shear Modulus in XY: 2.8846E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 1.039; Specific Heat: 550
S-PHM53,,,3510,,Elastic Modulus in X: 7.08E+010; Poisson's Ration in XY: 0.285; Shear Modulus in XY: 2.7549E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 0.615; Specific Heat: 550
S-PHM52,,0.000010,,0.599000,Elastic Modulus: 71500000000.000000; Poissons Ratio: 0.292000; Shear Modulus: 27670000000.000000; Density: 3670.000000; Specific Heat: 550.000000
S-BAH32,,,3260,,Elastic Modulus in X: 9.04E+010; Poisson's Ration in XY: 0.26; Shear Modulus in XY: 3.5873E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.921; Specific Heat: 550
S-BAH28,,,3670,,Elastic Modulus in X: 9.11E+010; Poisson's Ration in XY: 0.213; Shear Modulus in XY: 3.7552E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.889; Specific Heat: 550
S-BAH27,,,3670,,Elastic Modulus in X: 9.36E+010; Poisson's Ration in XY: 0.272; Shear Modulus in XY: 3.6792E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.869; Specific Heat: 550
S-BAH11,,,3590,,Elastic Modulus in X: 9.29E+010; Poisson's Ration in XY: 0.274; Shear Modulus in XY: 3.646E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.858; Specific Heat: 550
S-BAH10,,0.000007,,0.902000,Elastic Modulus: 96200000000.000000; Poissons Ratio: 0.273000; Shear Modulus: 37785000000.000000; Density: 3480.000000; Specific Heat: 550.000000
S-BAM12,,,3180,,Elastic Modulus in X: 9.04E+010; Poisson's Ration in XY: 0.253; Shear Modulus in XY: 3.6073E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.954; Specific Heat: 550
S-BAM4,,,2910,,Elastic Modulus in X: 7.62E+010; Poisson's Ration in XY: 0.244; Shear Modulus in XY: 3.0627E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.931; Specific Heat: 550
S-BAM3,,,2750,,Elastic Modulus in X: 7.71E+010; Poisson's Ration in XY: 0.242; Shear Modulus in XY: 3.1039E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.965; Specific Heat: 550
S-BAL42,,,3190,,Elastic Modulus in X: 8.47E+010; Poisson's Ration in XY: 0.246; Shear Modulus in XY: 3.3989E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.974; Specific Heat: 550
S-BAL41,,,2780,,Elastic Modulus in X: 8.9E+010; Poisson's Ration in XY: 0.242; Shear Modulus in XY: 3.5829E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.043; Specific Heat: 550
S-BAL35,,0.000006000000000,,0.915000,Elastic Modulus: 83200000000.000000; Poissons Ratio: 0.250000; Shear Modulus: 33280000000.000000; Density: 3310.000000; Specific Heat: 550.000000
S-BAL14,,0.000008000000000,,0.967000,Elastic Modulus: 81100000000.000000; Poissons Ratio: 0.240000; Shear Modulus: 32702000000.000000; Density: 2890.000000; Specific Heat: 550.000000
S-BAL12,,,2750,,Elastic Modulus in X: 7.1E+010; Poisson's Ration in XY: 0.161; Shear Modulus in XY: 3.0577E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 0.982; Specific Heat: 550
S-BAL11,,,3020,,Elastic Modulus in X: 8.19E+010; Poisson's Ration in XY: 0.237; Shear Modulus in XY: 3.3104E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.974; Specific Heat: 550
S-BAL3,,,2980,,Elastic Modulus in X: 7.19E+010; Poisson's Ration in XY: 0.249; Shear Modulus in XY: 2.8783E+010; Thermal Expansion Coefficient in X: 1e-005; Thermal Conductivity in X: 0.864; Specific Heat: 550
S-BAL2,,,2890,,Elastic Modulus in X: 7.27E+010; Poisson's Ration in XY: 0.245; Shear Modulus in XY: 2.9197E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 0.901; Specific Heat: 550
S-NSL36,,,2460,,Elastic Modulus in X: 6.4E+010; Poisson's Ration in XY: 0.139; Shear Modulus in XY: 2.8095E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.089; Specific Heat: 550
S-NSL5,,,2490,,Elastic Modulus in X: 6.91E+010; Poisson's Ration in XY: 0.14; Shear Modulus in XY: 3.0307E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 1.058; Specific Heat: 550
S-NSL3,,,2480,,Elastic Modulus in X: 7E+010; Poisson's Ration in XY: 0.217; Shear Modulus in XY: 2.8759E+010; Thermal Expansion Coefficient in X: 9e-006; Thermal Conductivity in X: 1.026; Specific Heat: 550
S-NBH55,0.269,8.2e-006,3490,0.994,Elastic Modulus: 1.053E+011; Shear Modulus: 4.3775E+010; Specific Heat: 550
S-BSM81,,,3060,,Elastic Modulus in X: 1.057E+011; Poisson's Ration in XY: 0.271; Shear Modulus in XY: 4.1581E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 1.001; Specific Heat: 550
S-BSM71,,,3740,,Elastic Modulus in X: 8.62E+010; Poisson's Ration in XY: 0.273; Shear Modulus in XY: 3.3857E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.773; Specific Heat: 550
S-BSM28,,,3230,,Elastic Modulus in X: 8.53E+010; Poisson's Ration in XY: 0.258; Shear Modulus in XY: 3.3903E+010; Thermal Expansion Coefficient in X: 8e-006; Thermal Conductivity in X: 0.878; Specific Heat: 550
S-BSM25,,,3500,,Elastic Modulus in X: 9.51E+010; Poisson's Ration in XY: 0.272; Shear Modulus in XY: 3.7382E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.891; Specific Heat: 550
S-BSM22,,,3240,,Elastic Modulus in X: 8.74E+010; Poisson's Ration in XY: 0.265; Shear Modulus in XY: 3.4545E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.916; Specific Heat: 550
S-BSM18,,,3690,,Elastic Modulus in X: 8.85E+010; Poisson's Ration in XY: 0.268; Shear Modulus in XY: 3.4897E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.815; Specific Heat: 550
S-BSM16,,,3590,,Elastic Modulus in X: 8.78E+010; Poisson's Ration in XY: 0.262; Shear Modulus in XY: 3.4786E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.835; Specific Heat: 550
S-BSM15,,,3600,,Elastic Modulus in X: 8.54E+010; Poisson's Ration in XY: 0.265; Shear Modulus in XY: 3.3755E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.845; Specific Heat: 550
S-BSM14,,,3430,,Elastic Modulus in X: 8.49E+010; Poisson's Ration in XY: 0.257; Shear Modulus in XY: 3.3771E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.891; Specific Heat: 550
S-BSM10,,,3600,,Elastic Modulus in X: 8.35E+010; Poisson's Ration in XY: 0.266; Shear Modulus in XY: 3.2978E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.822; Specific Heat: 550
S-BSM9,,,3220,,Elastic Modulus in X: 8.65E+010; Poisson's Ration in XY: 0.264; Shear Modulus in XY: 3.4217E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.916; Specific Heat: 550
S-BSM4,,,3570,,Elastic Modulus in X: 8.16E+010; Poisson's Ration in XY: 0.264; Shear Modulus in XY: 3.2253E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 0.836; Specific Heat: 550
S-BSM2,,,3530,,Elastic Modulus in X: 7.8E+010; Poisson's Ration in XY: 0.264; Shear Modulus in XY: 3.0854E+010; Thermal Expansion Coefficient in X: 6e-006; Thermal Conductivity in X: 0.802; Specific Heat: 550
S-BSL7,,,2520,,Elastic Modulus in X: 8E+010; Poisson's Ration in XY: 0.205; Shear Modulus in XY: 3.3195E+010; Thermal Expansion Coefficient in X: 7e-006; Thermal Conductivity in X: 1.13; Specific Heat: 550
S-FSL5,,0.000009000000000,,1.007000,Elastic Modulus: 62300000000.000000; Poissons Ratio: 0.227000; Shear Modulus: 25387000000.000000; Density: 2460.000000; Specific Heat: 550.000000
S-FPL53,,,3620,,Elastic Modulus in X: 6.910000333E+010; Poisson's Ration in XY: 0.303; Shear Modulus in XY: 2.651600077E+010; Thermal Expansion Coefficient in X: 1.4e-005; Thermal Conductivity in X: 0.857; Specific Heat: 550
S-FPL52,,,3530,,Elastic Modulus in X: 7.17E+010; Poisson's Ration in XY: 0.299; Shear Modulus in XY: 2.7598E+010; Thermal Expansion Coefficient in X: 1.3e-005; Thermal Conductivity in X: 0.849; Specific Heat: 550
S-FPL51,,,3620,,Elastic Modulus in X: 7.27E+010; Poisson's Ration in XY: 0.299; Shear Modulus in XY: 2.7983E+010; Thermal Expansion Coefficient in X: 1.3e-005; Thermal Conductivity in X: 0.78; Specific Heat: 550
PBM2Y,0.223,8.6e-006,3610,0.814,
BSL7Y,0.207,68,2500,1.182,Tensile Strength: 30000000
S-FPM3,0.291,1.15e-005,3640,0.805,Elastic Modulus: 8.06E+010
S-FPM2,0.287,1.17e-05,4170,0.624,Elastic Modulus: 7.5E+10
S-NBH56,0.249,0.00077,3490,1.12,Elastic Modulus: 1.067E+11
S-NBH53,0.236,7e-06,3280,1.124,Elastic Modulus: 1.097E+11; Shear Modulus: 4.3775E+10; Specific Heat: 550
SF6HT,0.244,8e-06,5180,0.673,Elastic Modulus: 5.499999846E+10; Shear Modulus: 2.21099991E+10; Specific Heat: 389
SF66,,0.000009,,0.530000,Elastic Modulus: 51000000512.000000; Poissons Ratio: 0.258000; Shear Modulus: 20270000128.000000; Density: 6025.000000; Specific Heat: 340.000000
SF6,,0.000008,,0.673000,Elastic Modulus: 54999998464.000000; Poissons Ratio: 0.244000; Shear Modulus: 22109999104.000000; Density: 5180.000000; Specific Heat: 389.000000
SF57HHT,,0.000008,,0.620000,Elastic Modulus: 54000001024.000000; Poissons Ratio: 0.248000; Shear Modulus: 21629999104.000000; Density: 5510.000000; Specific Heat: 360.000000
SF57,,0.000008,,0.620000,Elastic Modulus: 54000001024.000000; Poissons Ratio: 0.248000; Shear Modulus: 21629999104.000000; Density: 5510.000000; Specific Heat: 360.000000
SF56A,,0.000008,,0.650000,Elastic Modulus: 57000001536.000000; Poissons Ratio: 0.239000; Shear Modulus: 23000000512.000000; Density: 4920.000000; Specific Heat: 410.000000
SF5,,0.000008,,0.650000,Elastic Modulus: 56000000000.000000; Poissons Ratio: 0.233000; Shear Modulus: 22709999616.000000; Density: 4070.000000; Specific Heat: 410.000000
SF4,,0.000008,,0.650000,Elastic Modulus: 56000000000.000000; Poissons Ratio: 0.241000; Shear Modulus: 22560000000.000000; Density: 4790.000000; Specific Heat: 410.000000
